"","DESCRIPTION","SAMPLE_NUMBER","LOGIN_DATE","NAME","REPORTED_NAME","REPORTED_UNITS","ASHS040493","DIET020393","FATS110399","MOIS061299","PROT010201"
"1","COLES STABILISED WHEAT GERM 375G, COLES, BB 10/08/2017, 26944 16316 06:48",9573356,2017-02-10 14:41:57,"DTSN17000751","Ash @ 550°C","G_P_100G",4.1,NA,NA,NA,NA
"2","COLES STABILISED WHEAT GERM 375G, COLES, BB 10/08/2017, 26944 16316 06:48",9573356,2017-02-10 14:41:57,"DTSN17000751","Dietary Fibre (AOAC)",NA,NA,NA,NA,NA,NA
"3","COLES STABILISED WHEAT GERM 375G, COLES, BB 10/08/2017, 26944 16316 06:48",9573356,2017-02-10 14:41:57,"DTSN17000751","Fat","PCT_M-M",NA,NA,7.3298631193,NA,NA
"4","COLES STABILISED WHEAT GERM 375G, COLES, BB 10/08/2017, 26944 16316 06:48",9573356,2017-02-10 14:41:57,"DTSN17000751","Moisture","PCT_M-M",NA,NA,NA,11.778489159,NA
"5","COLES STABILISED WHEAT GERM 375G, COLES, BB 10/08/2017, 26944 16316 06:48",9573356,2017-02-10 14:41:57,"DTSN17000751","Protein (TN x 6.25)","G_P_100G",NA,NA,NA,NA,21.5625
"6","HOMEBRAND WHEAT GERM 500G, 79975, BB 05/06/2017, KE014537 22: 54339",9573349,2017-02-10 14:41:21,"DTSN17000751","Ash @ 550°C","G_P_100G",4.22,NA,NA,NA,NA
"7","HOMEBRAND WHEAT GERM 500G, 79975, BB 05/06/2017, KE014537 22: 54339",9573349,2017-02-10 14:41:21,"DTSN17000751","Dietary Fibre (AOAC)",NA,NA,NA,NA,NA,NA
"8","HOMEBRAND WHEAT GERM 500G, 79975, BB 05/06/2017, KE014537 22: 54339",9573349,2017-02-10 14:41:21,"DTSN17000751","Fat","PCT_M-M",NA,NA,7.3401080428,NA,NA
"9","HOMEBRAND WHEAT GERM 500G, 79975, BB 05/06/2017, KE014537 22: 54339",9573349,2017-02-10 14:41:21,"DTSN17000751","Moisture","PCT_M-M",NA,NA,NA,10.839160839,NA
"10","HOMEBRAND WHEAT GERM 500G, 79975, BB 05/06/2017, KE014537 22: 54339",9573349,2017-02-10 14:41:21,"DTSN17000751","Protein (TN x 6.25)","G_P_100G",NA,NA,NA,NA,21.25
"11","HOMEBRAND WHEAT GERM 500G, 79975, BB 16/06/2017, KE015839 16: 19016",9573353,2017-02-10 14:41:38,"DTSN17000751","Ash @ 550°C","G_P_100G",4.28,NA,NA,NA,NA
"12","HOMEBRAND WHEAT GERM 500G, 79975, BB 16/06/2017, KE015839 16: 19016",9573353,2017-02-10 14:41:38,"DTSN17000751","Dietary Fibre (AOAC)",NA,NA,NA,NA,NA,NA
"13","HOMEBRAND WHEAT GERM 500G, 79975, BB 16/06/2017, KE015839 16: 19016",9573353,2017-02-10 14:41:38,"DTSN17000751","Fat","PCT_M-M",NA,NA,7.6022440849,NA,NA
"14","HOMEBRAND WHEAT GERM 500G, 79975, BB 16/06/2017, KE015839 16: 19016",9573353,2017-02-10 14:41:38,"DTSN17000751","Moisture","PCT_M-M",NA,NA,NA,10.118027794,NA
"15","HOMEBRAND WHEAT GERM 500G, 79975, BB 16/06/2017, KE015839 16: 19016",9573353,2017-02-10 14:41:38,"DTSN17000751","Protein (TN x 6.25)","G_P_100G",NA,NA,NA,NA,22.1875
"16","HOMEBRAND WHEAT GERM, FOOD AUTHORITY, BB 07/04/2017, SAMPLE NO. 4261 17/11/16",9573346,2017-02-10 14:41:01,"DTSN17000751","Ash @ 550°C","G_P_100G",4.12,NA,NA,NA,NA
"17","HOMEBRAND WHEAT GERM, FOOD AUTHORITY, BB 07/04/2017, SAMPLE NO. 4261 17/11/16",9573346,2017-02-10 14:41:01,"DTSN17000751","Dietary Fibre (AOAC)",NA,NA,NA,NA,NA,NA
"18","HOMEBRAND WHEAT GERM, FOOD AUTHORITY, BB 07/04/2017, SAMPLE NO. 4261 17/11/16",9573346,2017-02-10 14:41:01,"DTSN17000751","Fat","PCT_M-M",NA,NA,7.1190078703,NA,NA
"19","HOMEBRAND WHEAT GERM, FOOD AUTHORITY, BB 07/04/2017, SAMPLE NO. 4261 17/11/16",9573346,2017-02-10 14:41:01,"DTSN17000751","Moisture","PCT_M-M",NA,NA,NA,11.619111452,NA
"20","HOMEBRAND WHEAT GERM, FOOD AUTHORITY, BB 07/04/2017, SAMPLE NO. 4261 17/11/16",9573346,2017-02-10 14:41:01,"DTSN17000751","Protein (TN x 6.25)","G_P_100G",NA,NA,NA,NA,21.4375
"21","PREMIUM STABILISED WHEATGERM 500G, SF HEALTHFOODS, BB 28/09/2017, 160695",9573358,2017-02-10 14:42:16,"DTSN17000751","Ash @ 550°C","G_P_100G",3.76,NA,NA,NA,NA
"22","PREMIUM STABILISED WHEATGERM 500G, SF HEALTHFOODS, BB 28/09/2017, 160695",9573358,2017-02-10 14:42:16,"DTSN17000751","Dietary Fibre (AOAC)",NA,NA,NA,NA,NA,NA
"23","PREMIUM STABILISED WHEATGERM 500G, SF HEALTHFOODS, BB 28/09/2017, 160695",9573358,2017-02-10 14:42:16,"DTSN17000751","Fat","PCT_M-M",NA,NA,6.4854292979,NA,NA
"24","PREMIUM STABILISED WHEATGERM 500G, SF HEALTHFOODS, BB 28/09/2017, 160695",9573358,2017-02-10 14:42:16,"DTSN17000751","Moisture","PCT_M-M",NA,NA,NA,11.624219602,NA
"25","PREMIUM STABILISED WHEATGERM 500G, SF HEALTHFOODS, BB 28/09/2017, 160695",9573358,2017-02-10 14:42:16,"DTSN17000751","Protein (TN x 6.25)","G_P_100G",NA,NA,NA,NA,19.625
